cutoff_mode,dataset,replicate,track_id,first_cutoff,last_cutoff,observations,eligible_cutoffs,persistence,tail_count,tail_tau_mean,tail_tau_median,tail_tau_std,tail_tau_min,tail_tau_max,tail_drift,tail_slope,median_prominence,prominence_std,prominence_cv,stable
hard,phase_scrambled,0,30,151,211,2,3,0.6666666666666666,2,20.703456611805038,20.703456611805038,0.0036654154158934915,20.699791196389146,20.707122027220933,0.007330830831786983,0.021910658596038,0.3045177951191754,0.18157850174113507,0.5962820716932911,False
taper,phase_scrambled,0,1,5,211,10,3,1.0,3,7.664189658262586,7.690357568679449,0.07964078509766642,7.556235200131644,7.7459762059766675,0.18974100584502374,0.26007085176105943,8.285698984573894,0.24570654818955626,0.02954397282775588,False
taper,phase_scrambled,0,2,5,211,10,3,1.0,3,11.28184533325326,11.265216553111438,0.09225992093048378,11.178086299764459,11.402233146883885,0.22414684711942634,0.3054561160768603,3.668381541710496,0.3071723161118253,0.0879491510825775,False
taper,phase_scrambled,0,3,5,5,1,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
taper,phase_scrambled,0,4,5,211,10,3,1.0,3,22.95711367252274,22.949018154569643,0.013519848493288193,22.94616055163425,22.976162311364337,0.03000175973008723,0.0353807302581974,5.585574004168967,1.7920548296455299,0.39314610357074636,True
taper,phase_scrambled,0,5,5,29,5,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
taper,phase_scrambled,0,6,7,211,9,3,1.0,3,16.4140360998481,16.440734022710565,0.07385488191652927,16.313238690400453,16.488135586433277,0.17489689603282343,0.24004457783718436,5.578844850800075,0.47838438287040624,0.08702002107185211,True
taper,phase_scrambled,0,7,11,211,8,3,1.0,3,19.54745656585349,19.546342998982748,0.017892540837563427,19.526120781987284,19.56990591659044,0.04378513460315503,0.059403144724721094,1.2806786046789131,0.3805750303466493,0.3030552559411013,True
taper,phase_scrambled,0,8,17,211,7,3,1.0,3,4.358196133211579,4.367564833774656,0.015228975683113957,4.336717345224215,4.370306220635866,0.033588875411651564,0.04024968465219166,2.5968986949368698,0.024358038765948508,0.009420794525995932,True
taper,phase_scrambled,0,9,29,29,1,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
taper,phase_scrambled,0,10,29,211,6,3,1.0,3,13.97982695484393,13.922704878750995,0.11886776334232887,13.871467873623224,14.145308112157569,0.27384023853434414,0.37774571438273297,1.1657757346983637,0.2277240976454981,0.19537509738060163,False
taper,phase_scrambled,0,11,29,211,6,3,1.0,3,18.12616542023581,18.116141599209172,0.026921676092254834,18.09936841337611,18.162986248122156,0.06361783474604721,0.08735377593766835,1.5080625055061398,0.4398707627723942,0.29931446388392896,True
taper,phase_scrambled,0,12,29,211,6,3,1.0,3,28.5171576611428,28.525261031272798,0.0332522898386493,28.472989598952335,28.553222353203264,0.0802327542509289,0.1096042724853443,4.567406228776706,0.28237904223931426,0.062025059797717046,True
taper,phase_scrambled,0,13,29,211,6,3,1.0,3,33.60242342570364,33.59813815946445,0.0344834083475103,33.562496051135625,33.64663606651086,0.08414001537523319,0.11441884566986045,5.001584062300965,0.15301677124766913,0.03104307457447796,True
taper,phase_scrambled,0,14,47,211,5,3,1.0,3,9.559864686444433,9.553501353542142,0.021007493213874257,9.537914636828479,9.588178068962682,0.050263432134203256,0.06882358498830199,2.5564109915558015,0.9326714870634607,0.35095345687613905,True
taper,phase_scrambled,0,15,47,211,5,3,1.0,3,26.358469137773344,26.336848959195503,0.07982980770848833,26.273317655551285,26.465240798573255,0.19192314302197033,0.26245981172784927,1.4889989939176838,0.12574875916056807,0.08538852830026804,False
taper,phase_scrambled,0,16,47,211,5,3,1.0,3,30.26334710996872,30.27686310571232,0.030740335388093454,30.22080586568253,30.292372358511308,0.07156649282877936,0.09854618341744117,1.1660934347232514,0.3991335999245357,0.37271691190826295,True
taper,phase_scrambled,0,17,71,211,4,3,1.0,3,24.38610326563625,24.392247013624107,0.039034995318540607,24.335520476477765,24.430542306806885,0.09502183032912015,0.12937855537418974,1.7888143459175008,2.253034013348923,0.724893798708113,True
taper,phase_scrambled,0,18,71,211,4,3,1.0,3,31.671031816811134,31.68354800751988,0.0382476351298093,31.619201458871483,31.710345984042032,0.09114452517054872,0.1249216761684599,1.5753308481881259,0.46134859185725036,0.3156966196429553,True
taper,phase_scrambled,0,19,151,211,2,3,0.6666666666666666,2,1.6618998142846624,1.6618998142846624,0.011097799690805377,1.6508020145938571,1.6729976139754679,0.022195599381610753,0.0663390291692764,0.13913113331911692,0.007214444924652896,0.0518535625531458,False
taper,phase_scrambled,0,20,151,211,2,3,0.6666666666666666,2,6.478260964111026,6.478260964111026,0.0009201261999067789,6.477340837911119,6.479181090310933,0.0018402523998135578,0.005500214503383019,0.45856055040597055,0.15519646158708789,0.33844267992458166,False
taper,phase_scrambled,0,21,211,211,1,3,0.3333333333333333,1,0.16481497914190016,0.16481497914190016,0.0,0.16481497914190016,0.16481497914190016,0.0,nan,0.14564118279861127,0.0,0.0,False
taper,phase_scrambled,0,22,211,211,1,3,0.3333333333333333,1,27.73028644191581,27.73028644191581,0.0,27.73028644191581,27.73028644191581,0.0,nan,0.1475194983466348,0.0,0.0,False
hard,phase_scrambled,1,1,5,211,10,3,1.0,3,2.7043634980622477,2.7484715021917836,0.11837368587250796,2.5424547240397573,2.822164267955201,0.2797095439154438,0.37312129300823654,7.441375627908585,0.4226633582711101,0.05800890470556502,False
hard,phase_scrambled,1,2,5,5,1,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
hard,phase_scrambled,1,3,5,211,10,3,1.0,3,10.360298238546958,10.348929089974895,0.041620373149139765,10.315968414534396,10.41599721113158,0.10002879659718467,0.13398127304275095,7.256063623424826,0.5758216840409953,0.08128856362165275,True
hard,phase_scrambled,1,4,5,211,10,3,1.0,3,13.30965168238786,13.298127421838288,0.043083697397540616,13.263599711915328,13.367227913409968,0.10362820149464014,0.14169565965927475,4.806926116872027,0.4028504576042014,0.08310077960561606,True
hard,phase_scrambled,1,5,5,11,3,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
hard,phase_scrambled,1,6,5,211,10,3,1.0,3,22.12799651617486,22.10531132039301,0.040255380653997364,22.09411987118566,22.18455835694591,0.09043848576024871,0.1252286108177802,2.5191427514912776,0.20438796290534475,0.07748702248085378,True
