variant,dataset,replicate,predicted_index,hard_track_id,taper_track_id,hard_tau,taper_tau,consensus_tau,agreement_error,hard_persistence,taper_persistence,hard_tail_drift,taper_tail_drift,hard_prominence,taper_prominence
loose,phase_scrambled,1,3,3,2,10.348929089974895,10.320910621785773,10.334919855880333,0.02801846818912246,1.0,1.0,0.10002879659718467,0.023829477427396384,7.256063623424826,5.8224588358674545
loose,phase_scrambled,1,4,4,7,13.298127421838288,13.376679231194988,13.337403326516638,0.07855180935669992,1.0,1.0,0.10362820149464014,0.0332592641495264,4.806926116872027,3.9658023058125025
loose,phase_scrambled,1,5,10,8,15.445272297050717,15.426430449506828,15.435851373278773,0.0188418475438894,1.0,1.0,0.13096891016699352,0.03458917673169282,2.511149714560975,2.4762198996132834
loose,phase_scrambled,1,6,15,4,18.711079667697508,18.68624024815719,18.698659957927347,0.02483941954031721,1.0,1.0,0.07270236632862748,0.0318034037521997,6.139192105260014,6.552101679981317
loose,phase_scrambled,1,7,18,13,20.509692779291914,20.515193162624204,20.51244297095806,0.005500383332289971,1.0,1.0,0.038757073966017686,0.008099553595997122,2.5397039611460968,1.5749604400680686
loose,phase_scrambled,1,8,6,9,22.10531132039301,22.17355824591758,22.139434783155295,0.06824692552456924,1.0,1.0,0.09043848576024871,0.019691674344414878,2.5191427514912776,2.114817978132483
loose,phase_scrambled,1,9,7,5,26.69618078195504,26.613113054499642,26.654646918227343,0.08306772745539703,1.0,1.0,0.09615629797624692,0.06301232581440175,7.993787718835779,6.88237800705458
loose,phase_scrambled,1,10,11,10,29.476643220323357,29.554876606935817,29.515759913629587,0.07823338661246027,1.0,1.0,0.07947337254436704,0.04178035464680363,4.6954481425237855,0.7429066482627326
strict,shuffled_rates,0,1,20,16,12.537353547813463,12.48765494054243,12.512504244177947,0.04969860727103281,1.0,1.0,0.177532867251724,0.015234298727900608,0.3022970050416471,0.3378735554104663
strict,shuffled_rates,0,2,5,5,14.195829513867697,14.176508579600263,14.18616904673398,0.019320934267433643,1.0,1.0,0.17394853419842526,0.05190961631371138,7.1112535986144545,7.004896721587094
strict,shuffled_rates,0,3,8,7,20.986706488194407,21.050183975853383,21.018445232023893,0.0634774876589752,1.0,1.0,0.12923428694945827,0.06626807700363813,5.835935725517076,5.090727116110529
strict,shuffled_rates,0,4,9,8,25.00298920113182,25.02780881003384,25.01539900558283,0.02481960890201762,1.0,1.0,0.089164622417929,0.026428867831675973,5.923980303574773,5.676012404272338
strict,shuffled_rates,0,5,11,9,30.435508172679228,30.482138813572615,30.45882349312592,0.046630640893386754,1.0,1.0,0.09188479091034907,0.01663006134961975,6.35557511484922,6.06633898633816
strict,shuffled_rates,0,6,15,10,32.848549167403554,32.8110861037837,32.82981763559363,0.03746306361985319,1.0,1.0,0.05344391959105366,0.09120362169505114,4.1108184796350855,3.8278492737835936
strict,shuffled_rates,0,7,19,13,34.6716823881783,34.691624501044586,34.68165344461144,0.019942112866289108,1.0,1.0,0.11167329702221451,0.05348787157474533,0.5015956044667953,0.551466488043127
baseline,shuffled_rates,0,1,13,4,9.193719573606515,9.235424318760288,9.214571946183401,0.04170474515377265,1.0,1.0,0.4216170909031991,0.16433446991305445,2.10348510018882,1.4965448034328244
baseline,shuffled_rates,0,2,20,16,12.537353547813463,12.48765494054243,12.512504244177947,0.04969860727103281,1.0,1.0,0.177532867251724,0.015234298727900608,0.3022970050416471,0.3378735554104663
baseline,shuffled_rates,0,3,5,5,14.195829513867697,14.176508579600263,14.18616904673398,0.019320934267433643,1.0,1.0,0.17394853419842526,0.05190961631371138,7.1112535986144545,7.004896721587094
baseline,shuffled_rates,0,4,8,7,20.986706488194407,21.050183975853383,21.018445232023893,0.0634774876589752,1.0,1.0,0.12923428694945827,0.06626807700363813,5.835935725517076,5.090727116110529
baseline,shuffled_rates,0,5,9,8,25.00298920113182,25.02780881003384,25.01539900558283,0.02481960890201762,1.0,1.0,0.089164622417929,0.026428867831675973,5.923980303574773,5.676012404272338
baseline,shuffled_rates,0,6,11,9,30.435508172679228,30.482138813572615,30.45882349312592,0.046630640893386754,1.0,1.0,0.09188479091034907,0.01663006134961975,6.35557511484922,6.06633898633816
baseline,shuffled_rates,0,7,15,10,32.848549167403554,32.8110861037837,32.82981763559363,0.03746306361985319,1.0,1.0,0.05344391959105366,0.09120362169505114,4.1108184796350855,3.8278492737835936
baseline,shuffled_rates,0,8,19,13,34.6716823881783,34.691624501044586,34.68165344461144,0.019942112866289108,1.0,1.0,0.11167329702221451,0.05348787157474533,0.5015956044667953,0.551466488043127
loose,shuffled_rates,0,1,1,1,0.8336534122059692,0.9761032560538974,0.9048783341299333,0.14244984384792814,1.0,1.0,0.14363092682644385,0.19056011901260317,8.601599638592024,6.11305975383172
loose,shuffled_rates,0,2,13,4,9.193719573606515,9.235424318760288,9.214571946183401,0.04170474515377265,1.0,1.0,0.4216170909031991,0.16433446991305445,2.10348510018882,1.4965448034328244
loose,shuffled_rates,0,3,20,16,12.537353547813463,12.48765494054243,12.512504244177947,0.04969860727103281,1.0,1.0,0.177532867251724,0.015234298727900608,0.3022970050416471,0.3378735554104663
loose,shuffled_rates,0,4,5,5,14.195829513867697,14.176508579600263,14.18616904673398,0.019320934267433643,1.0,1.0,0.17394853419842526,0.05190961631371138,7.1112535986144545,7.004896721587094
loose,shuffled_rates,0,5,6,11,16.03395388030005,16.18841156501618,16.111182722658114,0.15445768471613164,1.0,1.0,0.20650223408645374,0.23042447394682952,0.5708444575161205,0.6803411938948946
loose,shuffled_rates,0,6,8,7,20.986706488194407,21.050183975853383,21.018445232023893,0.0634774876589752,1.0,1.0,0.12923428694945827,0.06626807700363813,5.835935725517076,5.090727116110529
loose,shuffled_rates,0,7,9,8,25.00298920113182,25.02780881003384,25.01539900558283,0.02481960890201762,1.0,1.0,0.089164622417929,0.026428867831675973,5.923980303574773,5.676012404272338
loose,shuffled_rates,0,8,22,17,26.571240805810405,26.792086607100554,26.68166370645548,0.22084580129014952,1.0,1.0,0.2677257493475871,0.023696322675444748,0.8138797537182958,0.6497230234412295
loose,shuffled_rates,0,9,11,9,30.435508172679228,30.482138813572615,30.45882349312592,0.046630640893386754,1.0,1.0,0.09188479091034907,0.01663006134961975,6.35557511484922,6.06633898633816
loose,shuffled_rates,0,10,15,10,32.848549167403554,32.8110861037837,32.82981763559363,0.03746306361985319,1.0,1.0,0.05344391959105366,0.09120362169505114,4.1108184796350855,3.8278492737835936
loose,shuffled_rates,0,11,19,13,34.6716823881783,34.691624501044586,34.68165344461144,0.019942112866289108,1.0,1.0,0.11167329702221451,0.05348787157474533,0.5015956044667953,0.551466488043127
