variant,dataset,replicate,predicted_index,predicted_tau,zero_index,gamma,signed_error,absolute_error,relative_error,nearest_zero_index,nearest_zero_gamma,nearest_zero_distance
baseline,shuffled_rates,1,2,14.149940800849745,2,21.022039638771556,-6.872098837921811,6.872098837921811,0.32689971839114035,1,14.134725141734695,0.015215659115050073
baseline,shuffled_rates,1,3,21.0239146592507,3,25.01085758014569,-3.9869429208949896,3.9869429208949896,0.15940848521963258,2,21.022039638771556,0.0018750204791437852
baseline,shuffled_rates,1,4,25.021017260691195,4,30.424876125859512,-5.403858865168317,5.403858865168317,0.17761317557429024,3,25.01085758014569,0.010159680545505978
baseline,shuffled_rates,1,5,30.446107709048942,5,32.93506158773919,-2.48895387869025,2.48895387869025,0.07557155683646324,4,30.424876125859512,0.021231583189429415
baseline,shuffled_rates,1,6,32.871567031393056,6,37.586178158825675,-4.714611127432619,4.714611127432619,0.1254347038826445,5,32.93506158773919,0.06349455634613577
strict,real,0,1,12.520062874615501,1,14.134725141734695,-1.6146622671191935,1.6146622671191935,0.11423372233476857,1,14.134725141734695,1.6146622671191935
strict,real,0,2,14.152912756534828,2,21.022039638771556,-6.869126882236728,6.869126882236728,0.3267583450640916,1,14.134725141734695,0.018187614800133645
strict,real,0,3,21.015123573711975,3,25.01085758014569,-3.9957340064337146,3.9957340064337146,0.15975997598761424,2,21.022039638771556,0.0069160650595812
strict,real,0,4,24.997106873730246,4,30.424876125859512,-5.427769252129266,5.427769252129266,0.17839905837828388,3,25.01085758014569,0.013750706415443403
strict,real,0,5,30.457916718858264,5,32.93506158773919,-2.477144868880927,2.477144868880927,0.07521300248010161,4,30.424876125859512,0.03304059299875206
strict,real,0,6,32.874617497582086,6,37.586178158825675,-4.711560661243588,4.711560661243588,0.1253535446284064,5,32.93506158773919,0.06044409015710528
strict,phase_scrambled,0,1,9.543497468411786,1,14.134725141734695,-4.5912276733229085,4.5912276733229085,0.3248190274154455,1,14.134725141734695,4.5912276733229085
strict,phase_scrambled,0,2,18.101855092163493,2,21.022039638771556,-2.9201845466080627,2.9201845466080627,0.13891061936836432,2,21.022039638771556,2.9201845466080627
strict,phase_scrambled,0,3,19.5298580027524,3,25.01085758014569,-5.480999577393291,5.480999577393291,0.21914480780316226,2,21.022039638771556,1.4921816360191578
strict,phase_scrambled,0,4,22.992596849831855,4,30.424876125859512,-7.432279276027657,7.432279276027657,0.2442829757229683,2,21.022039638771556,1.9705572110602994
strict,phase_scrambled,0,5,24.427997208392554,5,32.93506158773919,-8.507064379346637,8.507064379346637,0.2582981166342674,3,25.01085758014569,0.5828603717531351
strict,phase_scrambled,0,6,28.555397570530857,6,37.586178158825675,-9.030780588294817,9.030780588294817,0.24026865807249637,4,30.424876125859512,1.869478555328655
strict,phase_scrambled,0,7,30.278603218135657,7,40.9187190121475,-10.640115794011841,10.640115794011841,0.2600305202822483,4,30.424876125859512,0.14627290772385493
strict,phase_scrambled,0,8,31.712694671244257,8,43.327073280915,-11.614378609670744,11.614378609670744,0.26806284685715714,5,32.93506158773919,1.2223669164949342
strict,phase_scrambled,0,9,33.56177938222925,9,48.00515088116716,-14.443371498937914,14.443371498937914,0.30087128638948146,5,32.93506158773919,0.6267177944900553
