dataset,replicate,prime_cutoff,zero_index,gamma,in_window,L_at_gamma,slope_at_gamma,curvature_at_gamma,phase_at_gamma,phase_slope_at_gamma,peak_bracketed,nearest_peak_tau,nearest_peak_value,nearest_peak_prominence,nearest_peak_width,nearest_peak_id,nearest_peak_track_id,peak_offset,min_bracketed,nearest_min_tau,nearest_min_value,nearest_min_prominence,nearest_min_width,nearest_min_id,nearest_min_track_id,min_offset,peak_track_switched,min_track_switched,peak_common_cohort,min_common_cohort
shuffled_rates,0,5,20,77.1448400688748,False,2.034771316485264,-1.4578960230961777,-2.811565858987828,-0.5308130204846774,-1.0466437750278872,False,,,,,,,,False,,,,,,,,False,False,False,False
shuffled_rates,0,29,1,14.134725141734695,True,2.603004719880918,3.3399869861541585,2.3683508181703115,0.025003938590189942,-1.449849472342753,True,14.311313670804775,2.967216144475452,5.919405157361728,1.4868255714513294,peak_13,65,0.17658852907008082,True,14.020585760556541,2.360108189691564,0.4369930183671271,0.22282410075018333,min_12,64,-0.1141393811781537,True,True,True,True
shuffled_rates,0,29,2,21.022039638771556,True,2.1236161247776475,2.0034213299897945,-5.143587824962064,0.5488306828739412,-2.0524310328065614,True,21.303001117679678,2.4276020454443192,4.565017539157561,1.2461630147684082,peak_19,77,0.2809614789081216,True,20.507298567658587,-0.7597774957469204,0.564325452032816,0.14104420359594314,min_18,76,-0.5147410711129687,True,True,True,True
shuffled_rates,0,29,3,25.01085758014569,True,3.7990123587590015,0.9987487116807976,-20.617171323045746,0.14196942846757488,-4.521523007953268,True,25.059263111811557,3.823187793948494,6.862411336243255,1.1926877099985358,peak_21,81,0.048405531665867585,True,24.202838818040608,-2.9535174002386957,5.919405157361728,1.0744755842827363,min_20,80,-0.8080187621050818,True,True,True,True
shuffled_rates,0,29,4,30.424876125859512,True,2.653977912442491,6.017627759730535,-28.698432486589724,1.1413712172767314,-3.9195927215913744,True,30.66449448600069,3.3409528576397576,7.411681054587018,1.2256188250570859,peak_24,87,0.2396183601411792,True,29.867170830449606,-2.5891409125088196,3.2063372960237766,0.39266862070148817,min_23,86,-0.5577052954099067,True,True,True,True
shuffled_rates,0,29,5,32.93506158773919,True,3.9607208143588357,-1.0718529455513939,-20.018965154539647,-0.3407294375552703,-4.605777094772457,True,32.8816245981711,3.9893810960420786,8.991711277241766,1.2895295508113713,peak_25,89,-0.053436989568091064,True,34.06343738783361,-3.0457592774269666,4.77715344534494,0.8958348120279743,min_25,90,1.1283758000944175,True,True,True,True
shuffled_rates,0,29,6,37.586178158825675,True,1.6056921784899827,2.853689016049949,-34.17690589661124,0.21928647536696044,-2.947448531798945,True,37.67715026146267,1.7319788839533872,4.77715344534494,2.4896679451346517,peak_29,97,0.09097210263699651,True,37.314981503053026,-0.03874396209070857,1.3290075224915907,0.22291625819120783,min_28,96,-0.2711966557726484,True,True,True,True
shuffled_rates,0,29,7,40.9187190121475,True,1.4119949099909617,-8.21262779095159,-33.75734799139858,-0.6055746044905365,-1.0331031227478484,True,40.648327218173854,2.384319652752211,4.510395331908585,1.6591317983828184,peak_32,103,-0.2703917939736442,True,41.056871217123785,0.44847348406492504,1.1633313467905337,0.2045545939321346,min_32,104,0.13815220497628644,True,True,True,True
shuffled_rates,0,29,8,43.327073280915,True,2.6385052554040294,3.8131389328000616,-26.924846277567138,0.4508502567375692,-4.086160284488203,True,43.47511808257598,2.917298683434976,6.762022606894721,1.0334272660711576,peak_35,109,0.14804480166097989,True,42.891082924911736,-1.128539145299961,0.8100086461684439,0.17865434321132853,min_34,108,-0.4359903560032663,True,True,True,True
shuffled_rates,0,29,9,48.00515088116716,True,1.0642304818799218,-6.92852731400034,9.561355633853587,-0.4391582637870465,-0.35044821200455956,True,47.68973970583102,2.3836270617948654,5.9199923211356165,1.2481963536750755,peak_37,113,-0.3154111753361377,True,48.512922843648894,-1.2843416034413928,3.550280769701393,0.6682238811661045,min_37,114,0.5077719624817334,True,True,True,True
