dataset,replicate,prime_cutoff,zero_index,gamma,in_window,phase_at_gamma,phase_slope_at_gamma,abs_rotation_window_percentile,nearest_stationary_phase_offset,nearest_rotation_max_grid_offset
phase_scrambled,0,29,11,52.970321477714464,True,-0.6507268854253776,0.6138761035801088,0.35088303898700435,-0.1209189809132738,0.20967852228553596
phase_scrambled,0,29,12,56.44624769706339,True,-1.2563511025224283,-0.4570192863122028,0.2782405864711763,0.05024127837626935,-0.30624769706339094
phase_scrambled,0,29,13,59.34704400260235,True,0.292308778532316,-0.42106991003506034,0.26124625124958345,-0.060830847434417024,-0.3070440026023533
phase_scrambled,0,29,14,60.83177852460981,False,0.8739102396467764,3.7059408069608963,,,
phase_scrambled,0,29,15,65.1125440480816,False,-0.6935999241557989,-1.7588538750218086,,,
phase_scrambled,0,29,16,67.07981052949417,False,1.0162921716856788,1.4910401688259307,,,
phase_scrambled,0,29,17,69.54640171117398,False,0.8359864211037396,-2.0287118638869743,,,
phase_scrambled,0,29,18,72.0671576744819,False,-0.147324949729823,1.5497305988477055,,,
phase_scrambled,0,29,19,75.70469069908393,False,-1.8797471761408133,-0.8294514032599279,,,
phase_scrambled,0,29,20,77.1448400688748,False,1.5992146307319892,1.6752488825560394,,,
phase_scrambled,0,101,1,14.134725141734695,True,-0.20304862498824638,-0.08608118514412681,0.032989003665444855,0.011570972595887241,-0.3547251417346935
phase_scrambled,0,101,2,21.022039638771556,True,-1.6577827692565008,-0.7201023968270859,0.2239253582139287,0.06927091835156318,-0.16203963877155658
phase_scrambled,0,101,3,25.01085758014569,True,-1.4230606728468809,2.4156356041335862,0.6947684105298234,-0.1422393833923259,0.3291424198543105
phase_scrambled,0,101,4,30.424876125859512,True,-0.9636483683281268,-2.557486609663769,0.7217594135288238,0.21605423616010455,-0.08487612585951254
phase_scrambled,0,101,5,32.93506158773919,True,2.4487018012342228,0.893829779677393,0.2725758080639787,0.06546231366273503,-0.5350615877391931
phase_scrambled,0,101,6,37.586178158825675,True,-0.10705308268795627,2.5111264338886508,0.7120959680106631,0.5377311073880406,-0.2461781588256713
phase_scrambled,0,101,7,40.9187190121475,True,-0.03791474765360748,3.3522596006061636,0.8470509830056647,-0.26154073556852353,0.1612809878524999
phase_scrambled,0,101,8,43.327073280915,True,0.24101477967068213,-2.359472102823271,0.6837720759746752,-0.2990152634906593,0.13292671908499898
phase_scrambled,0,101,9,48.00515088116716,True,-0.8963619819703256,-2.758685273668818,0.7657447517494168,-0.31916095579425985,0.014849118832842123
phase_scrambled,0,101,10,49.7738324776723,True,1.4530864579644607,1.3160855348875815,0.40153282239253585,0.42507125986690397,0.12616752232769812
phase_scrambled,0,101,11,52.970321477714464,True,-0.21463049286239677,1.6501501537619077,0.5068310563145618,0.24828512930605484,-0.0903214777144612
phase_scrambled,0,101,12,56.44624769706339,True,-1.1810625135243817,-0.9546279927274242,0.29090303232255915,0.0830746394008699,-0.20624769706338952
phase_scrambled,0,101,13,59.34704400260235,True,0.7003496680498461,1.3815180184586136,0.425191602799067,0.09621213332197698,-0.22704400260234792
phase_scrambled,0,101,14,60.83177852460981,False,1.267457710832264,7.1011486782847175,,,
phase_scrambled,0,101,15,65.1125440480816,False,-0.9846824465046617,-2.4212200864529363,,,
phase_scrambled,0,101,16,67.07981052949417,False,0.3704191208234486,-0.02654995841505653,,,
phase_scrambled,0,101,17,69.54640171117398,False,1.6407409717482446,-1.8142707780005125,,,
phase_scrambled,0,101,18,72.0671576744819,False,-0.2475282951008495,1.0494877243914496,,,
phase_scrambled,0,101,19,75.70469069908393,False,-2.6722970699173354,-1.0304817095276424,,,
phase_scrambled,0,101,20,77.1448400688748,False,0.9762461771241043,0.7035189732818851,,,
phase_scrambled,1,5,1,14.134725141734695,True,-0.5124267601405681,-0.8122317685531598,0.5718093968677108,0.6124748980712127,-0.2947251417346948
phase_scrambled,1,5,2,21.022039638771556,True,-0.27392784356422833,-0.6256453131497561,0.41652782405864713,-0.34007046629483995,0.5579603612284458
phase_scrambled,1,5,3,25.01085758014569,True,1.5261330555559263,-0.2232519989789508,0.12529156947684106,-0.0917758133650004,-0.7908575801456905
phase_scrambled,1,5,4,30.424876125859512,True,-0.20284470797199658,-1.0787617085269803,0.8237254248583805,1.2391873992598335,-0.004876125859510694
phase_scrambled,1,5,5,32.93506158773919,True,-0.5650140562822855,0.541233228434715,0.34221926024658444,-1.2709980626198458,0.3649384122608055
phase_scrambled,1,5,6,37.586178158825675,True,0.09119314540857126,-1.1633839881788193,0.8967010996334556,-1.2725936833987959,0.19382184117432644
phase_scrambled,1,5,7,40.9187190121475,True,0.24163118760173313,-0.36217799393774996,0.20859713428857046,-0.20756790639723732,0.4012809878525019
phase_scrambled,1,5,8,43.327073280915,True,0.22468655381293018,0.1280846424448287,0.07064311896034656,-0.09656936824886486,-0.2670732809149996
phase_scrambled,1,5,9,48.00515088116716,True,0.3105956160944937,0.020253642982293596,0.010996334555148283,0.00785002251063105,-0.3451508811671573
phase_scrambled,1,5,10,49.7738324776723,True,-1.2310839704141587,-0.9899226062626731,0.7244251916027991,0.8694194522832888,-0.5338324776722985
phase_scrambled,1,5,11,52.970321477714464,True,1.5441859084016258,-0.8494528283664016,0.6034655114961679,-0.5909155840146809,0.8696785222855397
phase_scrambled,1,5,12,56.44624769706339,True,-0.33677503965764194,-0.5116571611017117,0.3138953682105965,0.4265398399352236,-0.08624769706339208
phase_scrambled,1,5,13,59.34704400260235,True,-0.5191980284857666,0.9221353870384803,0.6697767410863046,-0.39564474927355064,0.07295599739764924
phase_scrambled,1,5,14,60.83177852460981,False,0.4678082507293992,0.16901979047870025,,,
phase_scrambled,1,5,15,65.1125440480816,False,0.32260243465630956,-1.158961224538043,,,
phase_scrambled,1,5,16,67.07981052949417,False,-1.1700084297952282,0.6504603798904353,,,
phase_scrambled,1,5,17,69.54640171117398,False,0.4268960773699769,1.2364115313187956,,,
phase_scrambled,1,5,18,72.0671576744819,False,0.7759183016855733,-0.907171450919535,,,
phase_scrambled,1,5,19,75.70469069908393,False,0.5691274431552443,-0.5178282072796809,,,
phase_scrambled,1,5,20,77.1448400688748,False,-0.8036352488478936,-1.007526542245145,,,
phase_scrambled,1,29,1,14.134725141734695,True,-0.8514440905832765,1.9644868398707953,0.7554148617127624,-0.34830203342162847,0.08527485826530601
phase_scrambled,1,29,2,21.022039638771556,True,-0.6496345158883807,-0.21974244221551112,0.10496501166277908,0.08293686557282953,0.477960361228444
