zero_index,gamma,p_ext,P_int,E,standard_mass_equivalent,equivalence_error,standard_KG_E
3,25.01085758014569,-9.600000000000001,25.01085758014569,26.78997941198035,25.01085758014569,0.0,26.78997941198035
3,25.01085758014569,-9.0,25.01085758014569,26.580876526072856,25.01085758014569,0.0,26.580876526072856
3,25.01085758014569,-8.400000000000002,25.01085758014569,26.383763887935533,25.01085758014569,0.0,26.383763887935533
3,25.01085758014569,-7.800000000000001,25.01085758014569,26.19891213188691,25.01085758014569,0.0,26.19891213188691
3,25.01085758014569,-7.199999999999999,25.01085758014569,26.026582505091426,25.01085758014569,0.0,26.026582505091426
3,25.01085758014569,-6.600000000000001,25.01085758014569,25.867025281124445,25.01085758014569,0.0,25.867025281124445
3,25.01085758014569,-6.0,25.01085758014569,25.72047816224129,25.01085758014569,0.0,25.72047816224129
3,25.01085758014569,-5.400000000000002,25.01085758014569,25.587164690413257,25.01085758014569,0.0,25.587164690413257
3,25.01085758014569,-4.800000000000001,25.01085758014569,25.467292688747484,25.01085758014569,0.0,25.467292688747484
3,25.01085758014569,-4.199999999999999,25.01085758014569,25.36105275603383,25.01085758014569,0.0,25.36105275603383
3,25.01085758014569,-3.6000000000000014,25.01085758014569,25.268616837775888,25.01085758014569,0.0,25.268616837775888
3,25.01085758014569,-3.0,25.01085758014569,25.19013689709389,25.01085758014569,0.0,25.19013689709389
3,25.01085758014569,-2.400000000000002,25.01085758014569,25.125743708283164,25.01085758014569,0.0,25.125743708283164
3,25.01085758014569,-1.8000000000000007,25.01085758014569,25.075545794545153,25.01085758014569,0.0,25.075545794545153
3,25.01085758014569,-1.2000000000000028,25.01085758014569,25.039628529479646,25.01085758014569,0.0,25.039628529479646
3,25.01085758014569,-0.6000000000000014,25.01085758014569,25.018053419367604,25.01085758014569,0.0,25.018053419367604
3,25.01085758014569,0.0,25.01085758014569,25.01085758014569,25.01085758014569,0.0,25.01085758014569
3,25.01085758014569,0.5999999999999979,25.01085758014569,25.018053419367604,25.01085758014569,0.0,25.018053419367604
3,25.01085758014569,1.1999999999999993,25.01085758014569,25.039628529479646,25.01085758014569,0.0,25.039628529479646
3,25.01085758014569,1.7999999999999972,25.01085758014569,25.075545794545153,25.01085758014569,0.0,25.075545794545153
3,25.01085758014569,2.3999999999999986,25.01085758014569,25.125743708283164,25.01085758014569,0.0,25.125743708283164
3,25.01085758014569,3.0,25.01085758014569,25.19013689709389,25.01085758014569,0.0,25.19013689709389
3,25.01085758014569,3.6000000000000014,25.01085758014569,25.268616837775888,25.01085758014569,0.0,25.268616837775888
3,25.01085758014569,4.199999999999996,25.01085758014569,25.36105275603383,25.01085758014569,0.0,25.36105275603383
